\'em            ax m sp
alice           ae l ih s sp
alien           ey l iy ax n sp
alimony         ae l ax m ow n iy sp
alkaline        ae l k ax l ay n sp
all             ao l sp
allergies       ae l axr jh iy z sp
alleviate       ax l iy v iy ey t sp
allow           ax l aw sp
allowance       ax l aw ax n s sp
almonds         aa m ax n d z sp
almost          ao l m ow s t sp
alone           ax l ow n sp
along           ax l ao ng sp
aloud           ax l aw d sp
already         ao l r eh d iy sp
also            ao l s ow sp
alternative     ao l t er n ix t ih v sp
although        ao l dh ow sp
altogether      ao l t ix g eh dh axr sp
alumni          ax l ah m n ay sp
always          ao l w ey z sp
amateur         ae m ax ch er sp
amazed          ax m ey z d sp
ambassador's    ae m b ae s ax d axr z sp
amber           ae m b axr sp
ambidextrous    ae m b ih d eh k s t r ix s sp
ambiguity       ae m b ax g y uw ix t iy sp
ambiguous       ae m b ih g y uw ax s sp
ambitions       ae m b ih sh ix n z sp
ambulance       ae m b y uh l ax n s sp
amoebas         ax m iy b ax z sp
among           ax m ah ng sp
amount          ax m aw n t sp
amounts         ax m aw n t s sp
ample           ae m p el sp
an              ae n sp
analysis        ax n ae l ix s ix s sp
analyticity     ae n ax l ix t ih s ix t iy sp
anarchy         ae n axr k iy sp
anatomical      ae n ix t aa m ih k el sp
anchor          ae ng k axr sp
ancient         ey n sh ix n t sp
and             ae n d sp
andrei's        ae n d r ey z sp
anecdotal       ae n eh k d ow t el sp
angora          ae ng g ao r ax sp
angrily         ae ng g r ax l iy sp
angry           ae ng g r iy sp
angular         ae ng g y uh l axr sp
animal          ae n ix m el sp
animals         ae n ix m el z sp
announcing      ax n aw n s ix ng sp
annoying        ax n oy ix ng sp
annual          ae n y uw el sp
anonymous       ax n aa n ax m ax s sp
another         ax n ah dh axr sp
answer          ae n s axr sp
answered        ae n s axr d sp
answers         ae n s axr z sp
ant             ae n t sp
antagonistic    ae n t ae g ax n ih s t ix k sp
antarctic       ae n t aa r k t ih k sp
anti            ae n t ay sp
anticipated     ae n t ih s ax p ey t ix d sp
antigen         ae n t ih jh ix n sp
antiseptic      ae n t ix s eh p t ih k sp
antithesis      ae n t ih th ix s ix s sp
ants            ae n t s sp
any             eh n iy sp
anybody         eh n iy b aa d iy sp
anyhow          eh n iy hh aw sp
anyone          eh n iy w ah n sp
anyone's        eh n iy w ah n z sp
anything        eh n iy th ih ng sp
anyway          eh n iy w ey sp
appear          ax p ih r sp
appearance      ax p ih r ax n s sp
appeared        ax p ih r d sp
appears         ax p ih r z sp
appetite        ae p ax t ay t sp
appetites       ae p ax t ay t s sp
apple           ae p el sp
apples          ae p el z sp
appliances      ax p l ay ix n s ix z sp
application     ae p l ix k ey sh ix n sp
applies         ax p l ay z sp
apply           ax p l ay sp
applying        ax p l ay ix ng sp
appointed       ax p oy n t ix d sp
appointment     ax p oy n t m ax n t sp
appreciate      ax p r iy sh iy ey t sp
appreciated     ax p r iy sh iy ey t ix d sp
appreciatively  ax p r iy sh ix t ih v l iy sp
approach        ax p r ow ch sp
approached      ax p r ow ch t sp
appropriate     ax p r ow p r iy ax t sp
approval        ax p r uw v el sp
approved        ax p r uw v d sp
approvingly     ax p r uw v ix ng l iy sp
approximation   ax p r aa k s ix m ey sh ix n sp
aprons          ey p r ax n z sp
aptitude        ae p t ix t uw d sp
aquatic         ax k w aa t ih k sp
arbitrate       aa r b ax t r ey t sp
arc             aa r k sp
arcade          aa r k ey d sp
archeological   aa r k iy ax l aa jh ix k el sp
are             aa r sp
area            ae r iy ax sp
areas           ae r iy ax z sp
aren't          aa r en t sp
argue           aa r g y uw sp
argued          aa r g y uw d sp
argument        aa r g y uw m ax n t sp
arise           ax r ay z sp
arises          ax r ay z ix z sp
aristocratic    ax r ih s t ix k r ae t ih k sp
arm             aa r m sp
armed           aa r m d sp
army            aa r m iy sp
arose           ax r ow z sp
around          ax r aw n d sp
arrive          ax r ay v sp
art             aa r t sp
article         aa r t ih k el sp
articulation    aa r t ih k y uh l ey sh ix n sp
artist          aa r t ix s t sp
artistic        aa r t ih s t ih k sp
artists         aa r t ix s t s sp
as              ae z sp
ashamed         ax sh ey m d sp
ashtray         ae sh t r ey sp
aside           ax s ay d sp
ask             ae s k sp
asked           ae s k t sp
asleep          ax s l iy p sp
aspect          ae s p eh k t sp
aspects         ae s p eh k t s sp
assail          ax s ey l sp
assassin        ax s ae s ix n sp
assaults        ax s ao l t s sp
assert          ax s er t sp
assign          ax s ay n sp
assignment      ax s ay n m ax n t sp
assistant       ax s ih s t ix n t sp
associated      ax s ow s iy ey t ix d sp
associates      ax s ow s iy ey t s sp
associations    ax s ow s iy ey sh ix n z sp
assume          ax s uw m sp
assumed         ax s uw m d sp
assure          ax sh uh r sp
assured         ax sh uh r d sp
assuredly       ax sh uh r ax d l iy sp
assures         ax sh uh r z sp
assuring        ax sh uh r ix ng sp
asthma          ae z m ax sp
astonishingly   ax s t aa n ih sh ix ng l iy sp
astronomy       ax s t r aa n ax m iy sp
at              ae t sp
ate             ey t sp
atheists        ey th iy ix s t s sp
athletic        ae th l eh t ih k sp
atmosphere      ae t m ax s f ih r sp
atomic          ax t aa m ih k sp
atop            ax t aa p sp
attach          ax t ae ch sp
attack          ax t ae k sp
attacked        ax t ae k t sp
attendance      ax t eh n d ix n s sp
attendants      ax t eh n d eh n t s sp
attention       ax t eh n sh ix n sp
attitude        ae t ix t uw d sp
attractive      ax t r ae k t ih v sp
attributed      ae t r ih b y uh t ix d sp
atypical        ey t ih p ih k el sp
auburn          ao b er n sp
audience        ao d iy ax n s sp
audio           ao d iy ow sp
auditory        ao d ix t ao r iy sp
author's        ao th axr z sp
authority       ah th ao r ix t iy sp
authorization   ao th axr ix z ey sh ix n sp
autofluorescence ao t ow f l uh r eh s en s sp
autographs      ao t ix g r ae f s sp
automatic       ao t ax m ae t ih k sp
automobile      ao t ax m ow b iy l sp
autonomy        ao t aa n ax m iy sp
autumn          ao t em sp
available       ax v ey l ix b el sp
avalanche       ae v ax l ae n ch sp
average         ae v r ih jh sp
avocado         ae v ax k aa d ow sp
avocados        ae v ax k aa d ow z sp
avoided         ax v oy d ix d sp
avoiding        ax v oy d ix ng sp
avowed          ax v aw d sp
awards          ax w ao r d z sp
away            ax w ey sp
awkward         ao k w axr d sp
awoke           ax w ow k sp
axis            ae k s ix s sp
babbled         b ae b el d sp
baboon's        b ae b uw n z sp
back            b ae k sp
backed          b ae k t sp
backgrounds     b ae k g r aw n d z sp
backyards       b ae k y aa r d z sp
bacteria        b ae k t ih r iy ax sp
bad             b ae d sp
badness         b ae d n ix s sp
baffle          b ae f el sp
bag             b ae g sp
bagpipes        b ae g p ay p s sp
bags            b ae g z sp
balance         b ae l ix n s sp
bale            b ey l sp
baleful         b ey l f el sp
ball            b ao l sp
ballet          b ae l ey sp
balloons        b ax l uw n z sp
ballplayer      b ao l p l ey axr sp
balls           b ao l z sp
ballyhoo        b ae l iy hh uw sp
bandaged        b ae n d ih jh d sp
bandages        b ae n d ih jh ix z sp
bank            b ae ng k sp
bankers         b ae ng k er z sp
banks           b ae ng k s sp
barb's          b aa r b z sp
barbaric        b aa r b ae r ih k sp
barbed          b aa r b d sp
bare            b ae r sp
barely          b ae r l iy sp
barley          b aa r l iy sp
barn            b aa r n sp
barracuda       b ae r ax k uw d ax sp
barrels         b ae r el z sp
barricades      b ae r ax k ey d z sp
barriers        b ae r iy axr z sp
baseball        b ey s b ao l sp
baseball's      b ey s b ao l z sp
based           b ey s t sp
basic           b ey s ih k sp
basis           b ey s ix s sp
basketball      b ae s k ih t b ao l sp
bath            b ae th sp
bathe           b ey dh sp
bathing         b ey dh ix ng sp
baths           b ae th s sp
bathtubs        b ae th t ah b z sp
battery         b ae t axr iy sp
batting         b ae t ix ng sp
bayed           b ey d sp
bayonet         b ey ax n eh t sp
bayou           b ay uw sp
bazaar          b ax z aa r sp
be              b iy sp
beans           b iy n z sp
beard           b ih r d sp
beatniks        b iy t n ih k s sp
beautiful       b y uw t ih f el sp
beautifully     b y uw t ih f ax l iy sp
beauty          b y uw t iy sp
becalmed        b ih k aa m d sp
became          b ih k ey m sp
because         b ih k ao z sp
beckons         b eh k ix n z sp
become          b ih k ah m sp
becomes         b ih k ah m z sp
becoming        b ih k ah m ix ng sp
bed             b eh d sp
bedlam          b eh d l ax m sp
bedroom         b eh d r uw m sp
beds            b eh d z sp
beefsteak       b iy f s t ey k sp
been            b ih n sp
beep            b iy p sp
beer            b ih r sp
before          b ax f ao r sp
began           b iy g ae n sp
begin           b ax g ih n sp
begins          b ax g ih n z sp
behaved         b ih hh ey v d sp
behavior        b ih hh ey v y axr sp
behind          b ax hh ay n d sp
being           b iy ix ng sp
belched         b eh l ch t sp
believed        b ax l iy v d sp
bellows         b eh l ow z sp
bells           b eh l z sp
belong          b ax l ao ng sp
belongs         b ax l ao ng z sp
beloved         b ax l ah v ax d sp
below           b ax l ow sp
belt            b eh l t sp
bench           b eh n ch sp
beneath         b ih n iy th sp
benefit         b eh n ax f ih t sp
benefits        b eh n ax f ih t s sp
bequests        b ih k w eh s t s sp
beside          b ax s ay d sp
besides         b ax s ay d z sp
best            b eh s t sp
bet             b eh t sp
betide          b ax t ay d sp
betrayed        b iy t r ey d sp
better          b eh t axr sp
between         b ax t w iy n sp
beverage        b eh v r ix jh sp
beverages       b eh v r ix jh ix z sp
beyond          b iy aa n d sp
biblical        b ih b l ih k el sp
bibliographies  b ih b l iy aa g r ax f iy z sp
bickering       b ih k axr ix ng sp
bidding         b ih d ix ng sp
big             b ih g sp
bigger          b ih g axr sp
bike            b ay k sp
billowed        b ih l ow d sp
bills           b ih l z sp
binomial        b ay n ow m iy el sp
biological      b ay ax l aa jh ih k el sp
biologists      b ay aa l ax jh ix s t s sp
biology         b ay aa l ax jh iy sp
birds           b er d z sp
birth           b er th sp
birthday        b er th d ey sp
biscuit         b ih s k ix t sp
bit             b ih t sp
bites           b ay t s sp
bitter          b ih t axr sp
bivouac         b ih v w ae k sp
bizarre         b ax z aa r sp
black           b l ae k sp
blackened       b l ae k ix n d sp
blankets        b l ae ng k ix t s sp
blastdown       b l ae s t d aw n sp
blend           b l eh n d sp
bleu            b l uw sp
blew            b l uw sp
blissful        b l ih s f el sp
blistered       b l ih s t axr d sp
bloat           b l ow t sp
blockade        b l aa k ey d sp
blocks          b l aa k s sp
blonde          b l aa n d sp
blooded         b l ah d ix d sp
blow            b l ow sp
blowers         b l ow axr z sp
blowing         b l ow ix ng sp
blue            b l uw sp
bluejay         b l uw jh ey sp
blues           b l uw z sp
bluing          b l uw ix ng sp
bluish          b l uw ih sh sp
blunt           b l ah n t sp
board           b ao r d sp
boardinghouses  b ao r d ix ng hh aw z ix z sp
boat            b ow t sp
bob             b aa b sp
bobby           b aa b iy sp
bobcat          b aa b k ae t sp
bodies          b aa d iy z sp
body            b aa d iy sp
bogged          b ao g d sp
boil            b oy l sp
bold            b ow l d sp
bolt            b ow l t sp
bomb            b aa m sp
bombs           b aa m z sp
bone            b ow n sp
bones           b ow n z sp
bongos          b aa ng g ow z sp
book            b uh k sp
books           b uh k s sp
boomerang       b uw m axr ae ng sp
boost           b uw s t sp
bootleggers     b uw t l eh g axr z sp
boots           b uw t s sp
bored           b ao r d sp
born            b ao r n sp
borrow          b aa r ow sp
boss            b ao s sp
boston          b ao s t en sp
both            b ow th sp
bother          b aa dh axr sp
bothers         b aa dh axr z sp
bottle          b aa t el sp
bottom          b aa t em sp
bottomed        b aa t em d sp
bought          b ao t sp
bounce          b aw n s sp
bounds          b aw n d z sp
bourgeoisie     b uh r zh w aa z iy sp
bowl            b ow l sp
box             b aa k s sp
boy             b oy sp
boy's           b oy z sp
boys            b oy z sp
bracelet        b r ey s l ix t sp
braiding        b r ey d ix ng sp
brain           b r ey n sp
brakes          b r ey k s sp
branch          b r ae n ch sp
brand           b r ae n d sp
brave           b r ey v sp
break           b r ey k sp
breakfast       b r eh k f ix s t sp
breast          b r eh s t sp
breed           b r iy d sp
brick           b r ih k sp
bride           b r ay d sp
bride's         b r ay d z sp
brief           b r iy f sp
briefly         b r iy f l iy sp
bright          b r ay t sp
brighter        b r ay t axr sp
brightly        b r ay t l iy sp
brim            b r ih m sp
bring           b r ih ng sp
brings          b r ih ng z sp
bristles        b r ih s el z sp
broke           b r ow k sp
broken          b r ow k ix n sp
bronc           b r aa ng k sp
brother         b r ah dh axr sp
brother's       b r ah dh axr z sp
brought         b r ao t sp
brown           b r aw n sp
bruises         b r uw z ix z sp
brush           b r ah sh sp
brushy          b r ah sh iy sp
bubbles         b ah b el z sp
buckle          b ah k el sp
buddies         b ah d iy z sp
buddy           b ah d iy sp
buffalo         b ah f ax l ow sp
bugeyed         b ah g ay d sp
bugged          b ah g d sp
build           b ih l d sp
building        b ih l d ix ng sp
buildings       b ih l d ix ng z sp
built           b ih l t sp
bulged          b ah l jh d sp
bullet          b uh l ix t sp
bullets         b uh l ix t s sp
bum             b ah m sp
bump            b ah m p sp
bunks           b ah ng k s sp
buns            b ah n z sp
bureaucracy     b y axr aa k r ix s iy sp
burglar         b er g l axr sp
burn            b er n sp
burned          b er n d sp
burner          b er n axr sp
burning         b er n ix ng sp
bursting        b er s t ix ng sp
bury            b eh r iy sp
bus             b ah s sp
bushel          b uh sh el sp
business        b ih z n ix s sp
busy            b ih z iy sp
but             b ah t sp
butterfly       b ah t axr f l ay sp
butterscotch    b ah t axr s k aa ch sp
buy             b ay sp
buying          b ay ix ng sp
buzz            b ah z sp
buzzing         b ah z ix ng sp
by              b ay sp
c'mon           k ax m aa n sp
cab             k ae b sp
cabinets        k ae b ix n ix t s sp
cable           k ey b el sp
cafe            k ae f ey sp
cafeteria       k ae f ax t ih r iy ax sp
cage            k ey jh sp
calendar        k ae l ix n d axr sp
calendars       k ae l ix n d axr z sp
calf            k ae f sp
calico          k ae l ih k ow sp
call            k ao l sp
called          k ao l d sp
calling         k ao l ix ng sp
calls           k ao l z sp
calm            k aa m sp
came            k ey m sp
cameo           k ae m iy ow sp
camera          k ae m axr ax sp
camp            k ae m p sp
camping         k ae m p ix ng sp
campus          k ae m p ax s sp
can             k ae n sp
can't           k ae n t sp
candies         k ae n d iy z sp
candles         k ae n d el z sp
canister        k ae n ix s t axr sp
canned          k ae n d sp
cannot          k ae n aa t sp
canoes          k ax n uw z sp
cantaloupe      k ae n t ax l ow p sp
canteen         k ae n t iy n sp
canter          k ae n t axr sp
cap'n           k ae p en sp
capable         k ey p ax b el sp
capillary       k ae p ax l eh r iy sp
capital         k ae p ix t el sp
capitalists     k ae p ix t el ih s t s sp
capitalize      k ae p ax t ax l ay z sp
capsule         k ae p s el sp
car             k aa r sp
car's           k aa r z sp
caraway         k ae r ax w ey sp
cardboard       k aa r d b ao r d sp
cards           k aa r d z sp
care            k ae r sp
carefree        k ae r f r iy sp
careful         k ae r f el sp
carefully       k ae r f uh l iy sp
carl            k aa r l sp
carpenter       k aa r p ax n t axr sp
carpet          k aa r p ax t sp
carried         k ae r iy d sp
carries         k ae r iy z sp
carry           k ae r iy sp
carrying        k ae r iy ix ng sp
cars            k aa r z sp
cart            k aa r t sp
cartoon         k aa r t uw n sp
cartoons        k aa r t uw n z sp
carved          k aa r v d sp
case            k ey s sp
cases           k ey s ix z sp
cash            k ae sh sp
cassandra       k ax s ae n d r ax sp
cast            k ae s t sp
castor          k ae s t axr sp
castorbeans     k ae s axr b iy n z sp
casually        k ae zh uw ax l iy sp
cat             k ae t sp
catch           k ae ch sp
categories      k ae t ax g ao r iy z sp
catkins         k ae t k ix n z sp
cats            k ae t s sp
cattle          k ae t el sp
caught          k ao t sp
caused          k ao z d sp
causes          k ao z ix z sp
caution         k ao sh ix n sp
cavity          k ae v ax t iy sp
cease           s iy s sp
ceiling         s iy l ix ng sp
celebrate       s eh l ix b r ey t sp
celebrates      s eh l ix b r ey t s sp
cellophane      s eh l ax f ey n sp
cells           s eh l z sp
cement          s ih m eh n t sp
cent            s eh n t sp
centered        s eh n t axr d sp
centre          s eh n t axr sp
cents           s eh n t s sp
century         s eh n ch axr iy sp
cereal          s ih r iy el sp
cerebral        s er iy b r ax l sp
certain         s er t en sp
chain           ch ey n sp
chair           ch ae r sp
chairs          ch ae r z sp
challenge       ch ae l ix n jh sp
challenged      ch ae l ix n jh d sp
chamber         ch ey m b axr sp
chance          ch ae n s sp
change          ch ey n jh sp
changes         ch ey n jh ix z sp
changing        ch ey n jh ix ng sp
chaos           k ey aa s sp
character       k ae r ax k t axr sp
characteristics k ae r ax k t axr ih s t ih k s sp
charge          ch aa r jh sp
charged         ch aa r jh d sp
charm           ch aa r m sp
charmer         ch aa r m axr sp
chases          ch ey s ix z sp
chasing         ch ey s ix ng sp
chattering      ch ae t axr ix ng sp
chauffeur       sh ow f axr sp
chaw            ch ao sp
cheating        ch iy t ix ng sp
check           ch eh k sp
checked         ch eh k t sp
cheek           ch iy k sp
cheese          ch iy z sp
chemical        k eh m ih k el sp
chemicals       k eh m ih k el z sp
chestnuts       ch eh s n ah t s sp
chests          ch eh s t s sp
chew            ch uw sp
chief           ch iy f sp
chiefly         ch iy f l iy sp
child           ch ay l d sp
childhood       ch ay l d hh uh d sp
children        ch ih l d r ax n sp
chilled         ch ih l d sp
chip            ch ih p sp
chipper         ch ih p axr sp
chives          ch ay v z sp
chloride        k l ao r ay d sp
chlorine        k l ao r iy n sp
chocolate       ch ao k l ix t sp
choices         ch oy s ix z sp
choke           ch ow k sp
choosing        ch uw z ix ng sp
chop            ch aa p sp
chopped         ch aa p t sp
choreographer   k ao r iy aa g r ax f axr sp
chortled        ch ao r t el d sp
chorused        k ao r ix s t sp
chose           ch ow z sp
chosen          ch ow z en sp
chrome          k r ow m sp
chroniclers     k r aa n ih k l axr z sp
chronological   k r aa n ax l aa jh ih k el sp
chronologically k r aa n ax l aa jh ih k ax l iy sp
chuck           ch ah k sp
chuckled        ch ah k el d sp
church          ch er ch sp
cigar           s ih g aa r sp
cigarettes      s ih g axr eh t s sp
cinch           s ih n ch sp
cinematic       s ih n ax m ae t ih k sp
circle          s er k el sp
circumstances   s er k ax m s t ae n s ix z sp
citizen         s ih t ix z ix n sp
citizenship     s ih t ix z ix n sh ih p sp
civil           s ih v el sp
civilian        s ax v ih l y ax n sp
civilization    s ih v el ax z ey sh ix n sp
civilized       s ih v el ay z d sp
clamp           k l ae m p sp
clams           k l ae m z sp
clamshell       k l ae m sh eh l sp
clapping        k l ae p ix ng sp
clarification   k l ae r ax f ax k ey sh ix n sp
clarified       k l ae r ax f ay d sp
clarify         k l ae r ax f ay sp
clasp           k l ae s p sp
clasped         k l ae s p t sp
class           k l ae s sp
classical       k l ae s ih k el sp
clatter         k l ae t axr sp
clause          k l ao z sp
clay            k l ey sp
clean           k l iy n sp
cleaned         k l iy n d sp
cleaners        ao l iy n axr z sp
clear           k l ih r sp
cleared         k l ih r d sp
clearer         k l ih r axr sp
clearing        k l ih r ix ng sp
clearly         k l ih r l iy sp
clerk's         k l er k s sp
cliff's         k l ih f s sp
climates        k l ay m ax t s sp
climbed         k l ay m d sp
climbing        k l ay m ix ng sp
clinches        k l ih n ch ix z sp
cling           k l ih ng sp
clockwork       k l aa k w er k sp
close           k l ow s sp
close           k l ow z sp
closer          k l ow s axr sp
closet          k l aa z ix t sp
closing         k l ow z ix ng sp
clot            k l aa t sp
cloth           k l ao th sp
clothes         k l ow dh z sp
clotheshorse    k l ow dh z hh ao r s sp
clothing        k l ow dh ix ng sp
clotted         k l aa t ix d sp
cloud           k l aw d sp
cloudburst      k l aw d b er s t sp
clouds          k l aw d z sp
cloverleaf      ao l ow v axr l iy f sp
club            k l ah b sp
clumsy          k l ah m z iy sp
coach           k ow ch sp
coagulating     k ow ae g y uh l ey t ix ng sp
coal            k ow l sp
coalition       k ow ax l ih sh ix n sp
coals           k ow l z sp
coast           k ow s t sp
coat            k ow t sp
coauthors       k ow ao th axr z sp
cobbler's       k aa b l axr z sp
coconut         k ow k ax n ah t sp
coconuts        k ow k ax n ah t s sp
code            k ow d sp
codes           k ow d z sp
coeducational   k ow eh jh ix k ey sh ix n el sp
coexist         k ow ih g z ih s t sp
coffee          k ao f iy sp
coin            k oy n sp
coincided       k ow ix n s ay d ix d sp
coins           k oy n z sp
cold            k ow l d sp
colleagues      k aa l iy g z sp
collection      k ax l eh k sh ix n sp
collects        k ax l eh k t s sp
colleges        k aa l ih jh z sp
collie          k aa l iy sp
collusion       k ax l uw zh ix n sp
color           k ah l axr sp
colorful        k ah l er f el sp
column          k aa l em sp
combustion      k ax m b ah s ch en sp
come            k ah m sp
comes           k ah m z sp
coming          k ah m ix ng sp
command         k ax m ae n d sp
comment         k aa m eh n t sp
common          k aa m ax n sp
commonplace     k aa m ax n p l ey s sp
communism       k aa m y uw n ih z em sp
community       k ax m y uw n ix t iy sp
compact         k aa m p ae k t sp
companions      k ax m p ae n y ix n z sp
company         k ah m p ax n iy sp
company's       k ah m p ax n iy z sp
compare         k ax m p ae r sp
comparison      k ax m p ae r ih s ix n sp
compensation    k aa m p ax n s ey sh ix n sp
competently     k aa m p ax t ix n t l iy sp
competing       k ax m p iy t ix ng sp
competition     k aa m p ax t ih sh ix n sp
competitive     k ax m p eh t ix t ih v sp
competitors     k ax m p eh t ix t axr z sp
compile         k ax m p ay l sp
complete        k ax m p l iy t sp
completely      k ax m p l iy t l iy sp
complex         k ax m p l eh k s sp
complexity      k ax m p l eh k s ix t iy sp
compliance      k ax m p l ay ix n s sp
complicated     k aa m p l ax k ey t ix d sp
complicity      k ax m p l ih s ix t iy sp
compose         k ax m p ow z sp
composition     k aa m p ax z ih sh ix n sp
composure       k ax m p ow zh axr sp
compound        k aa m p aw n d sp
compounded      k aa m p aw n d ix d sp
compounds       k aa m p aw n d z sp
compresses      k aa m p r eh s ix z sp
compulsion      k ax m p ah l sh ix n sp
computer        k ax m p y uw t axr sp
computers       k ax m p y uw t axr z sp
comrades        k aa m r ae d z sp
conceivably     k ax n s iy v ax b l iy sp
conceived       k ax n s iy v d sp
concept         k aa n s eh p t sp
concern         k ax n s er n sp
concerns        k ax n s er n z sp
concert         k aa n s axr t sp
concessionaire  k ax n s eh sh ix n ae r sp
conclusion      k ax n k l uw zh ix n sp
conclusions     k ax n k l uw zh ix n z sp
concrete        k aa n k r iy t sp
concurrent      k ax n k er ax n t sp
condemns        k ax n d eh m z sp
condition       k ax n d ih sh ix n sp
conditions      k ax n d ih sh ix n z sp
confabulation   k ax n f ae b y uh l ey sh ix n sp
confidence      k aa n f ix d ix n s sp
confident       k aa n f ih d ix n t sp
confidential    k aa n f ix d eh n sh el sp
configuration   k ax n f ih g y axr ey sh ix n sp
confines        k aa n f ay n z sp
confirm         k ax n f er m sp
confirmation    k aa n f axr m ey sh ix n sp
confronted      k ax n f r ah n t ix d sp
confusion       k ax n f y uw zh ix n sp
congestion      k ax n jh eh s ch ix n sp
congratulate    k ax n g r ae ch ax l ey t sp
congregation    k aa ng g r ih g ey sh ix n sp
connoisseur     k aa n ix s er sp
conscience      k aa n sh ix n s sp
consequences    k aa n s ix k w eh n s ix z sp
conservatism    k ax n s er v ax t ih z em sp
consider        k ax n s ih d axr sp
considerable    k ax n s ih d axr ax b el sp
considerably    k ax n s ih d axr ax b l iy sp
considered      k ax n s ih d axr d sp
considering     k ax n s ih d axr ix ng sp
consistently    k ax n s ih s t ix n t l iy sp
consolidation   k ax n s aa l ax d ey sh ix n sp
conspicuous     k ax n s p ih k y uw ax s sp
constantly      ao aa n s t ix n t l iy sp
constructions   k ax n s t r ah k sh ix n z sp
consume         k ax n s uw m sp
consumers       k ax n s uw m axr z sp
consuming       k ax n s uw m ix ng sp
consumption     k ax n s ah m p sh ix n sp
contain         k ax n t ey n sp
contained       k ax n t ey n d sp
container       k ax n t ey n axr sp
contains        k ax n t ey n z sp
contentedly     k ax n t eh n t ix d l iy sp
continental     k aa n t en eh n t el sp
continue        k ax n t ih n y uw sp
