"'em" ax m
SILENCE sil
a  ax
adjustable  ax jh ah s t ax b el
adjustments  ax jh ah s t m ax n t s
administration  ax d m ih n ix s t r ey sh ix n
administrative  ax d m ih n ix s t r ey t ih v
admire  ax d m ay axr
admitted  ax d m ih t ix d
admitting  ax d m ih t ix ng
adopted  ax d aa p t ix d
adult  ax d ah l t
adulterers  ax d ah l t er axr z
adulthood  ax d ah l t hh uh d
adults  ax d ah l t s
advance  ae d v ae n s
advanced  ae d v ae n s t
advances  ae d v ae n s ix z
advantage  ae d v ae n t ix jh
advantages  ae d v ae n t ix jh ix z
adventure  ax d v eh n ch axr
adventures  ax d v eh n ch axr z
advertising  ae d v axr t ay z ix ng
advice  ax d v ay s
advisable  ax d v ay z ax b el
advised  ax d v ay z d
advisement  ax d v ay z m ax n t
aerial  ae r iy el
affect  ax f eh k t
affectionate  ax f eh k sh ix n ix t
affirmative  ax f er m ax t ih v
afloat  ax f l ow t
afraid  ax f r ey d
after  ae f t axr
afternoon  ae f t axr n uw n
afterwards  ae f t axr w axr d z
again  ax g eh n
against  ax g eh n s t
age  ey jh
agency  ey jh ix n s iy
agenda  ax jh eh n d ax
agents  ey jh ix n t s
agglomeration  ax g l aa m axr ey sh ix n
aggressive  ax g r eh s ih v
aglow  ax g l ow
ago  ax g ow
agony  ae g ix n iy
agree  ax g r iy
agreed  ax g r iy d
agricultural  ae g r ih k ah l ch axr el
ahah  aa hh aa
ahead  ax hh eh d
aid  ey d
aided  ey d ix d
aids  ey d z
aim  ey m
aimed  ey m d
aimless  ey m l ax s
ain't  ey n t
air  ae r
aircraft  ae r k r ae f t
airfields  ae r f iy l d z
airplanes  ae r p l ey n z
al  ae l
alarm  ax l aa r m
alcoves  ae l k ow v z
alert  ax l er t
alfalfa  ae l f ae l f ax
algae  ae l jh iy
algebraic  ae l jh ix b r ey ih k
alibi  ae l ix b ay
alice  ae l ih s
alice's  ae l ih s ix z
alien  ey l iy ax n
aligned  ax l ay n d
aligning  ax l ay n ix ng
alimony  ae l ax m ow n iy
alkaline  ae l k ax l ay n
allergies  ae l axr jh iy z
alleviate  ax l iy v iy ey t
alligators  ae l ax g ey t axr z
allot  ax l aa t
allow  ax l aw
allowable  ax l aw ax b el
allowance  ax l aw ax n s
allowed  ax l aw d
allure  ax l uh r
almonds  aa m ax n d z
alone  ax l ow n
aloud  ax l aw d
aluminum  ax l uw m ix n ax m
alumni  ax l ah m n ay
am  ae m
amateur  ae m ax ch er
amaze  ax m ey z
amazed  ax m ey z d
ambassador  ae m b ae s ax d axr
ambassador's  ae m b ae s ax d axr z
amber  ae m b axr
ambidextrous  ae m b ih d eh k s t r ix s
ambiguity  ae m b ax g y uw ix t iy
ambiguous  ae m b ih g y uw ax s
ambitions  ae m b ih sh ix n z
ambitious  ae m b ih sh ix s
ambled  ae m b el d
ambulance  ae m b y uh l ax n s
american  ax m eh r ix k ix n
ammo  ae m ow
amoebas  ax m iy b ax z
among  ax m ah ng
amount  ax m aw n t
amounts  ax m aw n t s
ample  ae m p el
an  ae n
anaesthesia  ae n ih s th iy zh ax
analysis  ax n ae l ix s ix s
analyticity  ae n ax l ix t ih s ix t iy
anarchy  ae n axr k iy
anatomical  ae n ix t aa m ih k el
anchor  ae ng k axr
ancient  ey n sh ix n t
and  ae n d
andrei's  ae n d r ey z
anecdotal  ae n eh k d ow t el
anger  ae ng g axr
angrily  ae ng g r ax l iy
angry  ae ng g r iy
angular  ae ng g y uh l axr
animal  ae n ix m el
animals  ae n ix m el z
ankle  ae ng k el
announcing  ax n aw n s ix ng
annoying  ax n oy ix ng
annual  ae n y uw el
anonymous  ax n aa n ax m ax s
another  ax n ah dh axr
answer  ae n s axr
answered  ae n s axr d
answers  ae n s axr z
ant  ae n t
antagonistic  ae n t ae g ax n ih s t ix k
antarctic  ae n t aa r k t ih k
antelope  ae n t ax l ow p
anti  ae n t ay
anti-infective  ae n t ay ih n f eh k t ih v
anti-slavery  ae n t ay s l ey v axr iy
anticipated  ae n t ih s ax p ey t ix d
antigen  ae n t ih jh ix n
antiseptic  ae n t ix s eh p t ih k
antithesis  ae n t ih th ix s ix s
ants  ae n t s
anxiety  ae ng z ay ix t iy
any  eh n iy
anybody  eh n iy b aa d iy
anyhow  eh n iy hh aw
anyone  eh n iy w ah n
anyone's  eh n iy w ah n z
anything  eh n iy th ih ng
anyway  eh n iy w ey
apartments  ax p aa r t m ax n t s
apology  ax p aa l ax jh iy
apparently  ax p ae r ax n t l iy
appealing  ax p iy l ix ng
appear  ax p ih r
appearance  ax p ih r ax n s
appeared  ax p ih r d
appears  ax p ih r z
appetite  ae p ax t ay t
appetites  ae p ax t ay t s
appetizers  ae p ax t ay z axr z
apple  ae p el
apples  ae p el z
appliances  ax p l ay ix n s ix z
applicability  ae p l ih k ax b ih l ix t iy
application  ae p l ix k ey sh ix n
applications  ae p l ix k ey sh ix n z
applied  ax p l ay d
applies  ax p l ay z
apply  ax p l ay
applying  ax p l ay ix ng
appointed  ax p oy n t ix d
appointment  ax p oy n t m ax n t
appraisal  ax p r ey z el
appreciate  ax p r iy sh iy ey t
appreciated  ax p r iy sh iy ey t ix d
appreciatively  ax p r iy sh ix t ih v l iy
approach  ax p r ow ch
approached  ax p r ow ch t
appropriate  ax p r ow p r iy ax t
approval  ax p r uw v el
approved  ax p r uw v d
approvingly  ax p r uw v ix ng l iy
approximated  ax p r aa k s ix m ey t ix d
approximation  ax p r aa k s ix m ey sh ix n
aprons  ey p r ax n z
aptitude  ae p t ix t uw d
aquatic  ax k w aa t ih k
arbitrary  aa r b ax t r eh r iy
arbitrate  aa r b ax t r ey t
arc  aa r k
arcade  aa r k ey d
archeological  aa r k iy ax l aa jh ix k el
are  aa r
area  ae r iy ax
areas  ae r iy ax z
aren't  aa r en t
argue  aa r g y uw
argued  aa r g y uw d
argument  aa r g y uw m ax n t
arise  ax r ay z
arises  ax r ay z ix z
aristocratic  ax r ih s t ix k r ae t ih k
arm  aa r m
armchair  aa r m ch ae r
armed  aa r m d
arms  aa r m z
army  aa r m iy
arose  ax r ow z
around  ax r aw n d
arrange  ax r ey n jh
arranged  ax r ey n jh d
arrival  ax r ay v el
arrive  ax r ay v
arrived  ax r ay v d
arriving  ax r ay v ix ng
art  aa r t
article  aa r t ih k el
articulation  aa r t ih k y uh l ey sh ix n
artificial  aa r t ix f ih sh el
artist  aa r t ix s t
artistic  aa r t ih s t ih k
artists  aa r t ix s t s
as  ae z
ashamed  ax sh ey m d
ashtray  ae sh t r ey
aside  ax s ay d
ask  ae s k
asked  ae s k t
asleep  ax s l iy p
aspect  ae s p eh k t
aspects  ae s p eh k t s
assail  ax s ey l
assassin  ax s ae s ix n
assembled  ax s eh m b el d
assembling  ax s eh m b el ix ng
assert  ax s er t
assign  ax s ay n
assignment  ax s ay n m ax n t
assistance  ax s ih s t en s
assistant  ax s ih s t ix n t
associated  ax s ow s iy ey t ix d
associates  ax s ow s iy ey t s
associations  ax s ow s iy ey sh ix n z
assume  ax s uw m
assumed  ax s uw m d
assure  ax sh uh r
assured  ax sh uh r d
assuredly  ax sh uh r ax d l iy
assures  ax sh uh r z
assuring  ax sh uh r ix ng
asthma  ae z m ax
astonishingly  ax s t aa n ih sh ix ng l iy
astronomy  ax s t r aa n ax m iy
astrophysics  ae s t r ax f ih z ih k s
at  ae t
ate  ey t
atheists  ey th iy ix s t s
athletic  ae th l eh t ih k
atmosphere  ae t m ax s f ih r
atomic  ax t aa m ih k
atoms  ae t em z
atop  ax t aa p
attach  ax t ae ch
attack  ax t ae k
attacked  ax t ae k t
attempted  ax t eh m p t ix d
attendance  ax t eh n d ix n s
attendants  ax t eh n d eh n t s
attention  ax t eh n sh ix n
attitude  ae t ix t uw d
attracted  ax t r ae k t ix d
attractive  ax t r ae k t ih v
attributed  ae t r ih b y uh t ix d
atypical  ey t ih p ih k el
aunt  ae n t
available  ax v ey l ix b el
avalanche  ae v ax l ae n ch
average  ae v r ih jh
avocado  ae v ax k aa d ow
avocados  ae v ax k aa d ow z
avoid  ax v oy d
avoided  ax v oy d ix d
avoiding  ax v oy d ix ng
avowed  ax v aw d
aware  ax w ae r
away  ax w ey
awoke  ax w ow k
axis  ae k s ix s
babbled  b ae b el d
baboon's  b ae b uw n z
back  b ae k
backed  b ae k t
backgrounds  b ae k g r aw n d z
backward  b ae k w er d z
backyards  b ae k y aa r d z
bacteria  b ae k t ih r iy ax
bad  b ae d
badness  b ae d n ix s
baffle  b ae f el
bag  b ae g
bagpipes  b ae g p ay p s
bags  b ae g z
bake  b ey k
balance  b ae l ix n s
bale  b ey l
baleful  b ey l f el
ballet  b ae l ey
ballets  b ae l ey z
balloons  b ax l uw n z
ballyhoo  b ae l iy hh uw
bandaged  b ae n d ih jh d
bandages  b ae n d ih jh ix z
bank  b ae ng k
bankers  b ae ng k er z
banks  b ae ng k s
barb  b aa r b
barb's  b aa r b z
barbaric  b aa r b ae r ih k
barbecue  b aa r b ih k y uw
barbed  b aa r b d
bare  b ae r
barely  b ae r l iy
bargains  b aa r g ix n z
bark  b aa r k
barley  b aa r l iy
barn  b aa r n
barometric  b ae r ax m eh t r ih k
barracuda  b ae r ax k uw d ax
barrels  b ae r el z
barricades  b ae r ax k ey d z
barriers  b ae r iy axr z
base  b ey s
based  b ey s t
basic  b ey s ih k
basis  b ey s ix s
bath  b ae th
bathe  b ey dh
bathing  b ey dh ix ng
baths  b ae th s
bathtubs  b ae th t ah b z
battery  b ae t axr iy
battery-powered  b ae t axr iy p aw axr d
batting  b ae t ix ng
bay  b ey
bayed  b ey d
bayonet  b ey ax n eh t
bayou  b ay uw
bazaar  b ax z aa r
be  b iy
beach  b iy ch
beans  b iy n z
beard  b ih r d
beat  b iy t
beatniks  b iy t n ih k s
beautiful  b y uw t ih f el
beautifully  b y uw t ih f ax l iy
beauty  b y uw t iy
becalmed  b ih k aa m d
became  b ih k ey m
beckons  b eh k ix n z
become  b ih k ah m
becomes  b ih k ah m z
becoming  b ih k ah m ix ng
bed  b eh d
bedlam  b eh d l ax m
bedroom  b eh d r uw m
bedrooms  b eh d r uw m z
beds  b eh d z
beefsteak  b iy f s t ey k
been  b ih n
beep  b iy p
beer  b ih r
beers  b ih r z
beg  b eh g
began  b iy g ae n
beggar  b eh g axr
begin  b ax g ih n
beginning  b ax g ih n ix ng
begins  b ax g ih n z
behaved  b ih hh ey v d
behavior  b ih hh ey v y axr
behind  b ax hh ay n d
being  b iy ix ng
belched  b eh l ch t
believe  b ax l iy v
believed  b ax l iy v d
bellhops  b eh l hh aa p s
bellows  b eh l ow z
bells  b eh l z
beloved  b ax l ah v ax d
below  b ax l ow
belt  b eh l t
bench  b eh n ch
beneath  b ih n iy th
benefit  b eh n ax f ih t
benefits  b eh n ax f ih t s
bequests  b ih k w eh s t s
bereft  b er eh f t
beside  b ax s ay d
besides  b ax s ay d z
best  b eh s t
bet  b eh t
betide  b ax t ay d
betrayed  b iy t r ey d
better  b eh t axr
between  b ax t w iy n
beverage  b eh v r ix jh
beverages  b eh v r ix jh ix z
beyond  b iy aa n d
biased  b ay ix s t
biblical  b ih b l ih k el
bibliographies  b ih b l iy aa g r ax f iy z
bickering  b ih k axr ix ng
bidding  b ih d ix ng
big  b ih g
bigger  b ih g axr
bike  b ay k
bill  b ih l
billowed  b ih l ow d
bills  b ih l z
binomial  b ay n ow m iy el
biological  b ay ax l aa jh ih k el
biologists  b ay aa l ax jh ix s t s
biology  b ay aa l ax jh iy
biracial  b ay r ey sh el
birds  b er d z
birth  b er th
birthday  b er th d ey
biscuit  b ih s k ix t
bit  b ih t
bites  b ay t s
bitter  b ih t axr
bivouac  b ih v w ae k
bizarre  b ax z aa r
black  b l ae k
blackened  b l ae k ix n d
blame  b l ey m
blank  b l ae ng k
blankets  b l ae ng k ix t s
blasphemous  b l ae s f ax m ah s
blastdown  b l ae s t d aw n
bleachers  b l iy ch axr z
blend  b l eh n d
bleu  b l uw
blew  b l uw
blindness  b l ay n d n ix s
blissful  b l ih s f el
blistered  b l ih s t axr d
blitz  b l ih t s
bloat  b l ow t
block  b l aa k
blockade  b l aa k ey d
blocks  b l aa k s
blonde  b l aa n d
blooded  b l ah d ix d
blouses  b l aw s ix z
blow  b l ow
blowers  b l ow axr z
blowing  b l ow ix ng
blue  b l uw
bluejay  b l uw jh ey
blues  b l uw z
bluffs  b l ah f s
bluing  b l uw ix ng
bluish  b l uw ih sh
blunt  b l ah n t
bluntly  b l ah n t l iy
boat  b ow t
boat's  b ow t s
bob  b aa b
bobby  b aa b iy
bobcat  b aa b k ae t
bodied  b aa d iy d
bodies  b aa d iy z
body  b aa d iy
boil  b oy l
boiling  b oy l ix ng
bold  b ow l d
bolt  b ow l t
bomb  b aa m
bombs  b aa m z
bone  b ow n
bones  b ow n z
bonfire  b aa n f ay axr
bongos  b aa ng g ow z
book  b uh k
books  b uh k s
boom  b uw m
boomerang  b uw m axr ae ng
boost  b uw s t
bootleggers  b uw t l eh g axr z
boots  b uw t s
borrow  b aa r ow
both  b ow th
bother  b aa dh axr
bothers  b aa dh axr z
bottle  b aa t el
bottom  b aa t em
bottomed  b aa t em d
bounce  b aw n s
bounded  b aw n d ix d
bounds  b aw n d z
bourgeois  b uh r zh w aa
bourgeoisie  b uh r zh w aa z iy
bowl  b ow l
box  b aa k s
boy  b oy
boy's  b oy z
boys  b oy z
bracelet  b r ey s l ix t
braiding  b r ey d ix ng
brain  b r ey n
brakes  b r ey k s
branch  b r ae n ch
brand  b r ae n d
brave  b r ey v
bread  b r eh d
break  b r ey k
breakdown  b r ey k d aw n
breakfast  b r eh k f ix s t
breaking  b r ey k ix ng
breast  b r eh s t
breath  b r eh th
breathed  b r iy dh d
breathlessly  b r eh th l ax s l iy
breed  b r iy d
breeze  b r iy z
brick  b r ih k
bricks  b r ih k s
bridal  b r ay d el
bride  b r ay d
bride's  b r ay d z
bridge  b r ih jh
bridges  b r ih jh ix z
brief  b r iy f
briefly  b r iy f l iy
bright  b r ay t
brighter  b r ay t axr
brightly  b r ay t l iy
brim  b r ih m
bring  b r ih ng
brings  b r ih ng z
bristles  b r ih s el z
broccoli  b r aa k ax l iy
brochure  b r ow sh uh r
broil  b r oy l
broke  b r ow k
broken  b r ow k ix n
bronc  b r aa ng k
brother  b r ah dh axr
brother's  b r ah dh axr z
brown  b r aw n
brows  b r aw z
bruises  b r uw z ix z
brush  b r ah sh
brushy  b r ah sh iy
bubbles  b ah b el z
buckle  b ah k el
buddies  b ah d iy z
buddy  b ah d iy
buff  b ah f
buffalo  b ah f ax l ow
bugeyed  b ah g ay d
bugged  b ah g d
bugle  b y uw g el
build  b ih l d
builders  b ih l d axr z
building  b ih l d ix ng
buildings  b ih l d ix ng z
built  b ih l t
bulged  b ah l jh d
bull  b uh l
bull-like  b uh l l ay k
bullet  b uh l ix t
bullets  b uh l ix t s
bum  b ah m
bump  b ah m p
bungalow  b ah ng g ax l ow
bunks  b ah ng k s
buns  b ah n z
bureaucracy  b y axr aa k r ix s iy
burglar  b er g l axr
burn  b er n
burned  b er n d
burner  b er n axr
burning  b er n ix ng
burst  b er s t
bursting  b er s t ix ng
bury  b eh r iy
bus  b ah s
bushel  b uh sh el
business  b ih z n ix s
busy  b ih z iy
but  b ah t
butcher  b uh ch axr
butter  b ah t axr
butterfly  b ah t axr f l ay
butterscotch  b ah t axr s k aa ch
buttonholes  b ah t en hh ow l z
buttons  b ah t en z
buy  b ay
buyer  b ay axr
buying  b ay ix ng
buys  b ay z
buzz  b ah z
buzzing  b ah z ix ng
by  b ay
c'mon  k ax m aa n
cab  k ae b
cabinets  k ae b ix n ix t s
cable  k ey b el
cafe  k ae f ey
cafeteria  k ae f ax t ih r iy ax
cage  k ey jh
calcium  k ae l s iy ax m
calendar  k ae l ix n d axr
calendars  k ae l ix n d axr z
calf  k ae f
calico  k ae l ih k ow
calm  k aa m
came  k ey m
cameo  k ae m iy ow
camera  k ae m axr ax
camp  k ae m p
camping  k ae m p ix ng
campus  k ae m p ax s
can  k ae n
can't  k ae n t
candies  k ae n d iy z
candles  k ae n d el z
candy  k ae n d iy
canister  k ae n ix s t axr
canned  k ae n d
cannot  k ae n aa t
canoes  k ax n uw z
cantaloupe  k ae n t ax l ow p
canteen  k ae n t iy n
canter  k ae n t axr
cap'n  k ae p en
capable  k ey p ax b el
capillary  k ae p ax l eh r iy
capital  k ae p ix t el
capitalists  k ae p ix t el ih s t s
capitalize  k ae p ax t ax l ay z
capsule  k ae p s el
captain  k ae p t ix n
captured  k ae p ch axr d
car  k aa r
car's  k aa r z
caraway  k ae r ax w ey
cards  k aa r d z
care  k ae r
carefree  k ae r f r iy
careful  k ae r f el
carefully  k ae r f uh l iy
carl  k aa r l
carol  k ae r el
carpenter  k aa r p ax n t axr
carpet  k aa r p ax t
carriage  k ae r ih jh
carried  k ae r iy d
carries  k ae r iy z
carry  k ae r iy
carrying  k ae r iy ix ng
cars  k aa r z
cart  k aa r t
cartilage  k aa r t el ih jh
cartoon  k aa r t uw n
cartoons  k aa r t uw n z
carved  k aa r v d
case  k ey s
cases  k ey s ix z
cash  k ae sh
cashmere  k ae zh m ih r
cassandra  k ax s ae n d r ax
cast  k ae s t
castor  k ae s t axr
castorbeans  k ae s axr b iy n z
casual  k ae zh uw el
casually  k ae zh uw ax l iy
cat  k ae t
cat's  k ae t s
catastrophic  k ae t ix s t r aa f ih k
catch  k ae ch
catkins  k ae t k ix n z
cats  k ae t s
cattle  k ae t el
cavity  k ae v ax t iy
cease  s iy s
cease-fire  s iy s f ay axr
ceiling  s iy l ix ng
celebrate  s eh l ix b r ey t
celebrates  s eh l ix b r ey t s
cellophane  s eh l ax f ey n
cells  s eh l z
cement  s ih m eh n t
censorship  s eh n s axr sh ih p
census  s eh n s ix s
cent  s eh n t
centered  s eh n t axr d
centering  s eh n t axr ix ng
central  s eh n t r el
centre  s eh n t axr
centrifuge  s eh n t r ax f y uw jh
cents  s eh n t s
centuries  s eh n ch axr iy z
century  s eh n ch axr iy
ceramic  s axr ae m ih k
cereal  s ih r iy el
cerebral  s er iy b r ax l
certain  s er t en
certainly  s er t en l iy
chablis  sh ae b l iy
chain  ch ey n
chair  ch ae r
chairs  ch ae r z
challenge  ch ae l ix n jh
challenged  ch ae l ix n jh d
chamber  ch ey m b axr
chance  ch ae n s
change  ch ey n jh
changed  ch ey n jh d
changes  ch ey n jh ix z
changing  ch ey n jh ix ng
chaos  k ey aa s
character  k ae r ax k t axr
characteristics  k ae r ax k t axr ih s t ih k s
characters  k ae r ax k t axr z
charge  ch aa r jh
charged  ch aa r jh d
charlie's  ch aa r l iy z
charm  ch aa r m
charmer  ch aa r m axr
chart  ch aa r t
chases  ch ey s ix z
chasing  ch ey s ix ng
chastity  ch ae s t ix t iy
chattering  ch ae t axr ix ng
chauffeur  sh ow f axr
chauffeur-driven  sh ow f axr d r ih v en
cheap  ch iy p
cheating  ch iy t ix ng
check  ch eh k
checked  ch eh k t
cheek  ch iy k
cheese  ch iy z
cheetal  ch iy t el
chemical  k eh m ih k el
chemicals  k eh m ih k el z
chest  ch eh s t
chestnuts  ch eh s n ah t s
chests  ch eh s t s
chew  ch uw
chicken  ch ih k ih n
chief  ch iy f
chiefly  ch iy f l iy
child  ch ay l d
childhood  ch ay l d hh uh d
children  ch ih l d r ax n
chilled  ch ih l d
chills  ch ih l z
chip  ch ih p
chipper  ch ih p axr
chives  ch ay v z
choices  ch oy s ix z
choir  k w ay axr
choke  ch ow k
choose  ch uw z
choosing  ch uw z ix ng
chop  ch aa p
chopped  ch aa p t
chose  ch ow z
chosen  ch ow z en
chrome  k r ow m
chroniclers  k r aa n ih k l axr z
chronological  k r aa n ax l aa jh ih k el
chronologically  k r aa n ax l aa jh ih k ax l iy
chuck  ch ah k
chuckled  ch ah k el d
church  ch er ch
cigar  s ih g aa r
cigarette  s ih g axr eh t
cigarettes  s ih g axr eh t s
cinch  s ih n ch
cinematic  s ih n ax m ae t ih k
circle  s er k el
circled  s er k el d
circumstances  s er k ax m s t ae n s ix z
citizen  s ih t ix z ix n
citizenship  s ih t ix z ix n sh ih p
city  s ih t iy
civil  s ih v el
civilian  s ax v ih l y ax n
civilization  s ih v el ax z ey sh ix n
civilized  s ih v el ay z d
claimed  k l ey m d
clamp  k l ae m p
clams  k l ae m z
clamshell  k l ae m sh eh l
clapping  k l ae p ix ng
clarification  k l ae r ax f ax k ey sh ix n
clarified  k l ae r ax f ay d
clarify  k l ae r ax f ay
clashed  k l ae sh t
clasp  k l ae s p
clasped  k l ae s p t
class  k l ae s
class-biased  k l ae s b ay ix s t
classical  k l ae s ih k el
classrooms  k l ae s r uw m z
clatter  k l ae t axr
clay  k l ey
clean  k l iy n
cleaned  k l iy n d
cleaning  k l iy n ix ng
cleans  k l iy n z
clear  k l ih r
cleared  k l ih r d
clearer  k l ih r axr
clearing  k l ih r ix ng
clearly  k l ih r l iy
clerk's  k l er k s
clerks  k l er k s
clever  k l eh v axr
cliff  k l ih f
cliff's  k l ih f s
climates  k l ay m ax t s
climax  k l ay m ae k s
climbed  k l ay m d
climbing  k l ay m ix ng
clinches  k l ih n ch ix z
cling  k l ih ng
clockwork  k l aa k w er k
close  k l ow s
close  k l ow z
closer  k l ow s axr
closet  k l aa z ix t
closing  k l ow z ix ng
clot  k l aa t
clothes  k l ow dh z
clothing  k l ow dh ix ng
clotted  k l aa t ix d
cloud  k l aw d
cloudburst  k l aw d b er s t
clouds  k l aw d z
club  k l ah b
clumsy  k l ah m z iy
coach  k ow ch
coagulating  k ow ae g y uh l ey t ix ng
coal  k ow l
coal-black  k ow l b l ae k
coalition  k ow ax l ih sh ix n
coals  k ow l z
coast  k ow s t
coat  k ow t
cobbler's  k aa b l axr z
coconut  k ow k ax n ah t
coconuts  k ow k ax n ah t s
code  k ow d
codes  k ow d z
coeducational  k ow eh jh ix k ey sh ix n el
coexist  k ow ih g z ih s t
coil  k oy l
coin  k oy n
coincided  k ow ix n s ay d ix d
coins  k oy n z
coke  k ow k
cold  k ow l d
cold-blooded  k ow l d b l ah d ix d
collared  k aa l axr d
colleagues  k aa l iy g z
collection  k ax l eh k sh ix n
collects  k ax l eh k t s
colleges  k aa l ih jh z
collie  k aa l iy
collusion  k ax l uw zh ix n
color  k ah l axr
colored  k ah l axr d
colorful  k ah l er f el
colossal  k ax l aa s el
column  k aa l em
combine  k ax m b ay n
combustion  k ax m b ah s ch en
come  k ah m
comes  k ah m z
coming  k ah m ix ng
command  k ax m ae n d
comment  k aa m eh n t
commercial  k ax m er sh el
common  k aa m ax n
commonplace  k aa m ax n p l ey s
communism  k aa m y uw n ih z em
community  k ax m y uw n ix t iy
compact  k aa m p ae k t
companions  k ax m p ae n y ix n z
company  k ah m p ax n iy
company's  k ah m p ax n iy z
comparable  k aa m p axr ax b el
compare  k ax m p ae r
comparison  k ax m p ae r ih s ix n
compensation  k aa m p ax n s ey sh ix n
competently  k aa m p ax t ix n t l iy
competing  k ax m p iy t ix ng
competition  k aa m p ax t ih sh ix n
competitive  k ax m p eh t ix t ih v
competitors  k ax m p eh t ix t axr z
compile  k ax m p ay l
complete  k ax m p l iy t
completely  k ax m p l iy t l iy
complex  k ax m p l eh k s
complexity  k ax m p l eh k s ix t iy
compliance  k ax m p l ay ix n s
complicated  k aa m p l ax k ey t ix d
complicity  k ax m p l ih s ix t iy
compose  k ax m p ow z
composition  k aa m p ax z ih sh ix n
compositions  k aa m p ax z ih sh ix n z
compost  k aa m p ow s t
composure  k ax m p ow zh axr
compound  k aa m p aw n d
compounded  k aa m p aw n d ix d
compounds  k aa m p aw n d z
compresses  k aa m p r eh s ix z
compulsion  k ax m p ah l sh ix n
compulsory  k ax m p ah l s er iy
computer  k ax m p y uw t axr
computers  k ax m p y uw t axr z
comrades  k aa m r ae d z
conceivably  k ax n s iy v ax b l iy
conceived  k ax n s iy v d
concept  k aa n s eh p t
concern  k ax n s er n
concerns  k ax n s er n z
concert  k aa n s axr t
concessionaire  k ax n s eh sh ix n ae r
conclusion  k ax n k l uw zh ix n
conclusions  k ax n k l uw zh ix n z
concrete  k aa n k r iy t
concurrent  k ax n k er ax n t
condemns  k ax n d eh m z
condition  k ax n d ih sh ix n
conditions  k ax n d ih sh ix n z
confabulation  k ax n f ae b y uh l ey sh ix n
conferences  k aa n f axr ax n s ix z
confidence  k aa n f ix d ix n s
confident  k aa n f ih d ix n t
confidential  k aa n f ix d eh n sh el
configuration  k ax n f ih g y axr ey sh ix n
confines  k aa n f ay n z
confirm  k ax n f er m
confirmation  k aa n f axr m ey sh ix n
conformational  k aa n f axr m ey sh ix n el
confronted  k ax n f r ah n t ix d
confusion  k ax n f y uw zh ix n
congestion  k ax n jh eh s ch ix n
congratulate  k ax n g r ae ch ax l ey t
congregation  k aa ng g r ih g ey sh ix n
conjured  k aa n jh axr d
connoisseur  k aa n ix s er
conscience  k aa n sh ix n s
consequences  k aa n s ix k w eh n s ix z
conservatism  k ax n s er v ax t ih z em
consider  k ax n s ih d axr
considerable  k ax n s ih d axr ax b el
considerably  k ax n s ih d axr ax b l iy
considered  k ax n s ih d axr d
considering  k ax n s ih d axr ix ng
consistently  k ax n s ih s t ix n t l iy
consists  k ax n s ih s t s
consolidation  k ax n s aa l ax d ey sh ix n
conspicuous  k ax n s p ih k y uw ax s
construction  k ax n s t r ah k sh ix n
constructions  k ax n s t r ah k sh ix n z
consume  k ax n s uw m
consumers  k ax n s uw m axr z
consuming  k ax n s uw m ix ng
consumption  k ax n s ah m p sh ix n
contact  k aa n t ae k t
